timestamp,severity,rule,pid,process_name,path,action,message
2025-12-17T14:25:51.328492,INFO,ML_ANOMALY,3120,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:51.600084,INFO,ML_ANOMALY,4408,svchost.exe,,Whitelisted,ML behavioral anomaly (z=5.39)
2025-12-17T14:25:51.887260,WARNING,ML_ANOMALY,4784,MsMpEng.exe,,Score +10 (total 20),ML behavioral anomaly (z=5.09)
2025-12-17T14:25:52.129430,WARNING,ML_ANOMALY,9764,ApplicationFrameHost.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:52.392490,INFO,ML_ANOMALY,13736,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.37)
2025-12-17T14:25:52.506061,WARNING,ML_ANOMALY,16392,RuntimeBroker.exe,,Score +10 (total 10),ML behavioral anomaly (z=4.80)
2025-12-17T14:25:52.558887,WARNING,ML_ANOMALY,17368,taskhostw.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:52.638165,INFO,ML_ANOMALY,21312,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.37)
2025-12-17T14:25:53.675783,WARNING,ML_ANOMALY,148,Registry,,Score +10 (total 10),ML behavioral anomaly (z=5.12)
2025-12-17T14:25:53.929221,WARNING,ML_ANOMALY,2376,RegSvcs.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:54.563589,WARNING,ML_ANOMALY,4492,vmnetdhcp.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:25:54.660037,WARNING,ML_ANOMALY,4528,vmnat.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
